JpNames,Translation,Region
愛知県,Aichi,Chubu
岐阜県,Gifu,Chubu
秋田県,Akita,Tohoku
石川県,Ishikawa,Chubu
青森県,Aomori,Tohoku
千葉県,Chiba,Kanto
愛媛県,Ehime,Shikoku
佐賀県,Saga,Kyushu
福岡県,Fukuoka,Kyushu
宮崎県,Miyazaki,Kyushu
高知県,Kochi,Shikoku
大分県,Oita,Kyushu
長崎県,Nagasaki,Kyushu
熊本県,Kumamoto,Kyushu
広島県,Hiroshima,Chugoku
福井県,Fukui,Chubu
群馬県,Gunma,Kanto
北海道,Hokkaido,Hokkaido
福島県,Fukushima,Tohoku
神奈川県,Kanagawa,Kanto
兵庫県,Hyogo,Kansai
茨城県,Ibaraki,Kanto
岩手県,Iwate,Tohoku
鹿児島県,Kagoshima,Kyushu
香川県,Kagawa,Shikoku
京都府,Kyoto,Kansai
三重県,Mie,Kansai
宮城県,Miyagi,Tohoku
新潟県,Niigata,Chubu
長野県,Nagano,Chubu
奈良県,Nara,Kansai
東京都,Tokyo,Kanto
岡山県,Okayama,Chugoku
沖縄県,Okinawa,Kyushu
大阪府,Osaka,Kansai
富山県,Toyama,Chubu
鳥取県,Tottori,Chugoku
埼玉県,Saitama,Kanto
滋賀県,Shiga,Kansai
島根県,Shimane,Chugoku
静岡県,Shizuoka,Chubu
栃木県,Tochigi,Kanto
徳島県,Tokushima,Shikoku
山形県,Yamagata,Tohoku
山梨県,Yamanashi,Chubu
和歌県,Wakayama,Kansai
山口県,Yamaguchi,Chugoku
